"doi","experiment_design","mean_es_per_paper","median_es_per_paper","sd_es_per_paper","mad_es_per_paper","num_es_per_paper","median_N_num_per_paper","no_meta_max_N_per_paper","no_meta_min_N_per_paper","no_meta_median_N_per_paper","num_topic","topic","topic_category","topic_for_analysis"
"10.1145/3411764.3445464","between",0.37276612507557,0.399341254900726,0.214317150808961,0.153174811474646,10,30,30,30,30,"topic_1","user studies","human centered computing","empirical studies in hci"
"10.1145/3411764.3445464","between",0.37276612507557,0.399341254900726,0.214317150808961,0.153174811474646,10,30,30,30,30,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445464","between",0.37276612507557,0.399341254900726,0.214317150808961,0.153174811474646,10,30,30,30,30,"topic_3","virtual reality","human centered computing","virtual reality"
"10.1145/3411764.3445465","between",0.265928076122623,0.242899156029822,0.140747579412804,0.130438884366329,11,90,90,69,90,"topic_1","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445465","between",0.265928076122623,0.242899156029822,0.140747579412804,0.130438884366329,11,90,90,69,90,"topic_2","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445465","between",0.265928076122623,0.242899156029822,0.140747579412804,0.130438884366329,11,90,90,69,90,"topic_5","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445474","within",0.69,0.73,0.0781024967590666,0.014826,3,16,16,16,16,"topic_1","virtual reality","human centered computing","virtual reality"
"10.1145/3411764.3445474","within",0.69,0.73,0.0781024967590666,0.014826,3,16,16,16,16,"topic_5","human computer interaction (hci)","human centered computing","human computer interaction (hci)"
"10.1145/3411764.3445474","within",0.69,0.73,0.0781024967590666,0.014826,3,16,16,16,16,"topic_6","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445476","within",0.437136709963283,0.477607580071342,0.208551663054917,0.237488839050255,6,20,20,20,20,"topic_1","mixed / augmented reality","human centered computing","mixed / augmented reality"
"10.1145/3411764.3445476","within",0.437136709963283,0.477607580071342,0.208551663054917,0.237488839050255,6,20,20,20,20,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445488","between",0.685539000677232,0.667924983976888,0.026942655096446,0,5,93,2768,90,93,"topic_1","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445488","between",0.685539000677232,0.667924983976888,0.026942655096446,0,5,93,2768,90,93,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445489","within",0.350724653405306,0.282842712474619,0.119683974460589,0.0298954455046833,7,223,223,223,223,"topic_1","user studies","human centered computing","empirical studies in hci"
"10.1145/3411764.3445489","within",0.350724653405306,0.282842712474619,0.119683974460589,0.0298954455046833,7,223,223,223,223,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445492","between",0.30237863493618,0.331045632409271,0.0852482203736481,0.0658649701380039,6,30,30,30,30,"topic_1","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445492","between",0.30237863493618,0.331045632409271,0.0852482203736481,0.0658649701380039,6,30,30,30,30,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445492","within",0.33166247903554,0.33166247903554,NA,0,1,30,30,30,30,"topic_1","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445492","within",0.33166247903554,0.33166247903554,NA,0,1,30,30,30,30,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445494","within",0.271673211575359,0.14142135623731,0.225974870866675,0.143367415088612,15,26,26,26,26,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445494","within",0.271673211575359,0.14142135623731,0.225974870866675,0.143367415088612,15,26,26,26,26,"topic_3","interaction design","human centered computing","interaction design"
"10.1145/3411764.3445499","within",0.261803398874989,0.261803398874989,0.0540181513475453,0.0566302808279406,2,23,23,23,23,"topic_1","virtual reality","human centered computing","virtual reality"
